Unnamed: 0,State,Crop,District,Year,Season,Area,Production,Yield,Annual_Rainfall,Fertilizer,Pesticide,Max_Temp,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
39,Odisha,Arhar/Tur,Baleshwar,2002,kharif,180,120.0,0.67,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
41,Odisha,Arhar/Tur,Baleshwar,2003,kharif,150,90.0,0.6,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
43,Odisha,Arhar/Tur,Bargarh,1997,rabi,14149,3933.0,0.28,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
44,Odisha,Arhar/Tur,Bargarh,1997,zaid,831,288.0,0.35,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
45,Odisha,Arhar/Tur,Bargarh,1997,rabi,50,9.0,0.18,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
47,Odisha,Arhar/Tur,Bargarh,1999,kharif,2090,1410.0,0.67,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
49,Odisha,Arhar/Tur,Bargarh,2000,kharif,2310,1670.0,0.72,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
51,Odisha,Arhar/Tur,Bargarh,2001,kharif,2420,2300.0,0.95,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
53,Odisha,Arhar/Tur,Bargarh,2002,kharif,2200,1610.0,0.73,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
55,Odisha,Arhar/Tur,Bargarh,2003,kharif,2260,1770.0,0.78,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
57,Odisha,Arhar/Tur,Bargarh,2019,kharif,2060,1900.0,0.92,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
59,Odisha,Arhar/Tur,Bhadrak,1997,zaid,2990,583.0,0.19,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
60,Odisha,Arhar/Tur,Bhadrak,1999,kharif,40,30.0,0.75,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
61,Odisha,Arhar/Tur,Bhadrak,2000,kharif,30,20.0,0.67,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
62,Odisha,Arhar/Tur,Bhadrak,2001,kharif,20,20.0,1.0,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
63,Odisha,Arhar/Tur,Bhadrak,2002,kharif,30,30.0,1.0,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
64,Odisha,Arhar/Tur,Bhadrak,2003,kharif,20,20.0,1.0,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
65,Odisha,Arhar/Tur,Boudh,1997,rabi,289,45.0,0.16,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
66,Odisha,Arhar/Tur,Boudh,1997,zaid,360,62.0,0.17,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
67,Odisha,Arhar/Tur,Boudh,1997,rabi,1232,149.0,0.12,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
69,Odisha,Arhar/Tur,Boudh,1999,kharif,3190,2870.0,0.9,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
71,Odisha,Arhar/Tur,Boudh,2000,kharif,2930,2720.0,0.93,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
73,Odisha,Arhar/Tur,Boudh,2001,kharif,2970,2670.0,0.9,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
75,Odisha,Arhar/Tur,Boudh,2002,kharif,3020,2110.0,0.7,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
77,Odisha,Arhar/Tur,Boudh,2003,kharif,3610,1810.0,0.5,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
79,Odisha,Arhar/Tur,Boudh,2019,kharif,4810,4500.0,0.94,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
81,Odisha,Arhar/Tur,Cuttack,1997,zaid,23111,4392.0,0.19,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
82,Odisha,Arhar/Tur,Cuttack,1997,rabi,1797,516.0,0.29,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
84,Odisha,Arhar/Tur,Cuttack,1999,kharif,1240,1000.0,0.81,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
86,Odisha,Arhar/Tur,Cuttack,2000,kharif,1360,1070.0,0.79,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
87,Odisha,Arhar/Tur,Cuttack,2000,rabi,30,20.0,0.67,1066.0,4908.5,13.0,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
89,Odisha,Arhar/Tur,Cuttack,2001,kharif,1160,950.0,0.82,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
90,Odisha,Arhar/Tur,Cuttack,2001,rabi,40,30.0,0.75,1672.5,29617.7,75.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
92,Odisha,Arhar/Tur,Cuttack,2002,kharif,890,720.0,0.81,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
94,Odisha,Arhar/Tur,Cuttack,2003,kharif,980,860.0,0.88,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
96,Odisha,Arhar/Tur,Cuttack,2019,kharif,310,270.0,0.87,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
98,Odisha,Arhar/Tur,Deogarh,1997,rabi,1251,405.0,0.32,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
99,Odisha,Arhar/Tur,Deogarh,1997,zaid,181,58.0,0.32,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
100,Odisha,Arhar/Tur,Deogarh,1997,rabi,93,18.0,0.19,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
102,Odisha,Arhar/Tur,Deogarh,1999,kharif,550,340.0,0.62,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
104,Odisha,Arhar/Tur,Deogarh,2000,kharif,440,220.0,0.5,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
106,Odisha,Arhar/Tur,Deogarh,2001,kharif,410,240.0,0.59,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
108,Odisha,Arhar/Tur,Deogarh,2002,kharif,530,300.0,0.57,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
110,Odisha,Arhar/Tur,Deogarh,2003,kharif,670,400.0,0.6,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
112,Odisha,Arhar/Tur,Deogarh,2019,kharif,2900,3120.0,1.08,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
114,Odisha,Arhar/Tur,Dhenkanal,1997,rabi,322,32.0,0.1,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
115,Odisha,Arhar/Tur,Dhenkanal,1997,zaid,904,203.0,0.22,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
116,Odisha,Arhar/Tur,Dhenkanal,1997,rabi,609,110.0,0.18,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
118,Odisha,Arhar/Tur,Dhenkanal,1999,kharif,6460,4210.0,0.65,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
120,Odisha,Arhar/Tur,Dhenkanal,2000,kharif,6070,4490.0,0.74,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
122,Odisha,Arhar/Tur,Dhenkanal,2002,kharif,4220,3070.0,0.73,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
124,Odisha,Arhar/Tur,Dhenkanal,2003,kharif,4620,3370.0,0.73,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
126,Odisha,Arhar/Tur,Dhenkanal,2019,kharif,3050,2830.0,0.93,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
128,Odisha,Arhar/Tur,Gajapati,1997,rabi,1106,352.0,0.32,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
129,Odisha,Arhar/Tur,Gajapati,1999,kharif,3840,2730.0,0.71,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
130,Odisha,Arhar/Tur,Gajapati,2000,kharif,3970,4020.0,1.01,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
131,Odisha,Arhar/Tur,Gajapati,2001,kharif,4370,3100.0,0.71,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
132,Odisha,Arhar/Tur,Gajapati,2002,kharif,4360,4230.0,0.97,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
133,Odisha,Arhar/Tur,Gajapati,2003,kharif,4370,5030.0,1.15,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
134,Odisha,Arhar/Tur,Gajapati,2019,kharif,3100,2810.0,0.91,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
135,Odisha,Arhar/Tur,Ganjam,1997,rabi,63,7.0,0.11,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
136,Odisha,Arhar/Tur,Ganjam,1997,zaid,143,41.0,0.29,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
137,Odisha,Arhar/Tur,Ganjam,1997,rabi,57061,11355.0,0.2,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
139,Odisha,Arhar/Tur,Ganjam,1999,kharif,7950,2460.0,0.31,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
141,Odisha,Arhar/Tur,Ganjam,2000,kharif,9690,8140.0,0.84,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
143,Odisha,Arhar/Tur,Ganjam,2001,kharif,11620,8600.0,0.74,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
145,Odisha,Arhar/Tur,Ganjam,2002,kharif,9150,5780.0,0.63,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
147,Odisha,Arhar/Tur,Ganjam,2003,kharif,11260,6820.0,0.61,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
149,Odisha,Arhar/Tur,Ganjam,2019,kharif,15470,15750.0,1.02,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
151,Odisha,Arhar/Tur,Jagatsinghapur,1997,zaid,16178,2718.0,0.17,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
152,Odisha,Arhar/Tur,Jagatsinghapur,1997,rabi,190,55.0,0.29,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
154,Odisha,Arhar/Tur,Jagatsinghapur,1999,kharif,230,190.0,0.83,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
156,Odisha,Arhar/Tur,Jagatsinghapur,2000,kharif,130,70.0,0.54,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
158,Odisha,Arhar/Tur,Jagatsinghapur,2001,kharif,140,140.0,1.0,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
160,Odisha,Arhar/Tur,Jagatsinghapur,2002,kharif,50,40.0,0.8,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
161,Odisha,Arhar/Tur,Jagatsinghapur,2002,rabi,50,40.0,0.8,1102.8,6626.9,17.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
163,Odisha,Arhar/Tur,Jagatsinghapur,2003,kharif,130,100.0,0.77,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
165,Odisha,Arhar/Tur,Jajapur,1997,zaid,12688,3045.0,0.24,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
166,Odisha,Arhar/Tur,Jajapur,1997,rabi,67,9.0,0.13,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
168,Odisha,Arhar/Tur,Jajapur,1999,kharif,2250,780.0,0.35,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
170,Odisha,Arhar/Tur,Jajapur,2000,kharif,2890,1030.0,0.36,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
172,Odisha,Arhar/Tur,Jajapur,2001,kharif,2860,950.0,0.33,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
173,Odisha,Arhar/Tur,Jajapur,2001,rabi,170,80.0,0.47,1672.5,29617.7,75.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
175,Odisha,Arhar/Tur,Jajapur,2002,kharif,1500,520.0,0.35,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
177,Odisha,Arhar/Tur,Jajapur,2003,kharif,2630,980.0,0.37,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
179,Odisha,Arhar/Tur,Jajapur,2019,kharif,450,360.0,0.8,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
181,Odisha,Arhar/Tur,Jharsuguda,1997,rabi,24,6.0,0.25,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
182,Odisha,Arhar/Tur,Jharsuguda,1997,zaid,55,21.0,0.38,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
184,Odisha,Arhar/Tur,Jharsuguda,1999,kharif,230,140.0,0.61,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
186,Odisha,Arhar/Tur,Jharsuguda,2000,kharif,280,160.0,0.57,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
188,Odisha,Arhar/Tur,Jharsuguda,2001,kharif,560,350.0,0.63,1672.5,12876550.4,32780.8,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
190,Odisha,Arhar/Tur,Jharsuguda,2002,kharif,650,400.0,0.62,1102.8,10810367.3,28547.5,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
192,Odisha,Arhar/Tur,Jharsuguda,2003,kharif,580,370.0,0.64,1648.2,13514729.2,32769.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
194,Odisha,Arhar/Tur,Jharsuguda,2019,kharif,310,320.0,1.03,1593.9,22093488.8,47593.1,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
196,Odisha,Arhar/Tur,Kalahandi,1997,rabi,37,3.0,0.08,1496.6,2438350.57,7942.51,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
197,Odisha,Arhar/Tur,Kalahandi,1997,zaid,2376,444.0,0.19,1496.6,8237820.03,26833.29,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
198,Odisha,Arhar/Tur,Kalahandi,1997,rabi,4796,566.0,0.12,1496.6,11092349.01,36131.43,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
200,Odisha,Arhar/Tur,Kalahandi,1999,kharif,19580,12820.0,0.65,1484.3,14442170.4,36741.6,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
202,Odisha,Arhar/Tur,Kalahandi,2000,kharif,20740,13650.0,0.66,1066.0,14641073.8,38776.4,32.70204977070086,20.89242019864078,26.79608235283079,1377.1219666641532,72.6921460233902,BLACK SOIL &RED SOIL
